title,song
告白气球,塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，，留下唇印的嘴，，Wu~，，花店玫瑰 名字写错谁，告白气球 风吹到对街，微笑在天上飞，，你说你有点难追 想让我知难而退，礼物不需挑最贵 只要香榭的落叶，喔~营造浪漫的约会 不害怕搞砸一切，拥有你就拥有 全世界，，亲爱的 爱上你 从那天起，甜蜜的很轻易，，亲爱的 别任性 你的眼睛，，在说我愿意，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，，留下唇印的嘴，，Wu~，，花店玫瑰 名字写错谁，告白气球 风吹到对街，，微笑在天上飞，，你说你有点难追 想让我知难而退，礼物不需挑最贵 只要香榭的落叶，，喔~营造浪漫的约会 不害怕搞砸一切，拥有你就拥有 全世界，，亲爱的 爱上你 从那天起，甜蜜的很轻易，，亲爱的 别任性 你的眼睛，，在说我愿意，，亲爱的 爱上你 恋爱日记，，飘香水的回忆，，一整瓶 的梦境 全都有你，，搅拌在一起，，亲爱的别任性 你的眼睛，，在说我愿意，，，，制作人：周杰伦，吉他：林迈可，录音师：杨瑞代，录音室：JVR Studio，混音师：林迈可，混音室：VIP Music
双截棍 / 惊叹号 (Live),双截棍 / 惊叹号 (Live)，演唱者：周杰伦，，岩烧店烟味弥漫，隔壁是国术馆，店里的妈妈桑，柔道有三 段，，教拳脚武术的老板，练铁砂掌 耍杨家枪，硬底子功夫最擅长，还会金钟罩铁布衫，，他们儿子我习惯，从小就耳濡目染，什么刀枪棍棒，我都耍的有模有样，，什么兵器最喜欢，双截棍柔中带钢，想要去河南嵩山，学少林跟武当，，（什么干 什么干），呼吸吐纳心自在，（什么干 什么干），气沉丹田手心开，，（什么干 什么干），日行千里系沙袋，飞檐走壁莫奇怪，去去就来，，（什么干 什么干），我打开任督二脉，（什么干 什么干），东亚病夫的招牌，（什么干 什么干），已被我一脚踢开，，哼 快使用双截棍 哼哼哈嘿，快使用双截棍 哼哼哈嘿，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼哼哈嘿，快使用双截棍 哼哼哈嘿，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，，他们儿子我习惯，从小就耳濡目染，什么刀枪棍棒，我都耍的有模有样，，什么兵器最喜欢，双截棍柔中带钢，想要去河南嵩山，学少林跟武当，，快使用双截棍 哼哼哈嘿，快使用双截棍 哼哼哈嘿，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼哼哈嘿，快使用双截棍 哼哼哈嘿，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，，快使用双截棍 哼哼哈嘿，快使用双截棍 哼哼哈嘿，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼，快使用双截棍 哼，快使用双截棍 哼，一身正气 哼，，越山丘 过哑口，云端的空气稀薄，这街头 敌意多，，烟硝弥漫不了我，空袭对我是种罗嗦，警报呢 是让你们有 时间走，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己创作跑道 靠，，靠 毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠高速奔向目标 靠 靠，，顺向坡 从不走，逆着风清醒了我，我沉默 话不多，，赢的时候才开口，势均力敌才叫战斗，希望呢 你们是像样 的对手，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己创作跑道 哇 靠，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己创作跑道 哇 靠，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己创作跑道 哇 靠，，高楼的视野 不知名的街，霓虹侵略 庸俗了这一切，是与非 隔着路口对决，，我主宰 我自己的世界，横着写 意气风发的谁，永不放弃 去超越 去粉碎 是非，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己创作跑道 哇 靠，，哇 靠毅力极限燃烧，哇 靠斗志仰天咆啸，哇 靠自己奔向目标 哇 靠，哇 靠
疗伤烧肉粽(Anky Hype Mix Re-drum),唉呦 我早已说过你跟他应该会分开，吵架的理由我也已经知道大概，你需要人宠爱 天天叫你 baby，这英文 好险我会念，不听我的劝 纠缠好几年，委屈时借你靠肩 我不收你钱，等你想开了 不会再红着眼，什么叫正港的情人我来示范一遍，烧肉粽 如果你想吃不需要等到端午节，烧肉粽 你要酸的甜的苦的辣的随时给你，烧肉粽 酸甜苦辣的爱情请把它忘记，烧肉粽 我可以陪你也让你出气，把你的手借我 请你不用想太多，爱你不会说出口 只给你打气加油，只喜欢你笑容 所以不用想太多，当了一天情人以后 我怕你会嫌不够，，反正现在分了 就跟你老实说吧，之前跟他套招 我真的没有办法，我实在不忍心 如果不骗你你会更伤心，只是我没想到 你居然会相信，不知道你是傻还是真的单纯，我想你是傻吧傻才会跟他一起，如果莫名奇妙你们又复合了，我说的这些就请把它忘了，烧肉粽 如果你想吃不需要等到端午节，烧肉粽 你要酸的甜的苦的辣的随时给你，烧肉粽 酸甜苦辣的爱情请把它忘记，烧肉粽 我可以陪你也让你出气，把你的手借我 请你不用想太多，爱你不会说出口 只给你打气加油，只喜欢你笑容 所以不用想太多，当了一天情人以后 我怕你会嫌不够，把你的手借我 oh oh oh，爱你不会说出口 oh oh oh yeah，只喜欢你笑容 所以不用想太多，当了一天情人以后 我怕你会嫌不够
迷迭香 (Live),你的嘴角微微上翘，性感得无可救药，想象不到如此心跳，你的一切都想要，软性的饮料上升的气泡，我将对你的喜好，一瓶装全喝掉，这里最不缺就是热闹，你煽情给拥抱，烛火在燃烧有某种情调，眼神失焦了几秒关于你的舞蹈，你慵懒的扭动着腰受不了，你随风飘扬的笑，有百合花的味道，有迷迭香的味道，对我发出恋爱的讯号，你优雅地像一只猫，动作轻逸地围绕，爱的甜味蔓延发酵，暧昧来得刚好，爱情的饮料上升的气泡，我将对你的喜好，一瓶装全喝掉，这里最不缺就是热闹，你煽情给拥抱，烛火在燃烧有某种情调，眼神失焦了几秒关于你的舞蹈，你慵懒的扭动着腰受不了，你随风飘扬的笑，有迷迭香的味道，语带薄荷味的撒娇，对我发出恋爱的讯号，你优雅地像一只猫，动作轻逸地围绕，爱的甜味蔓延发酵，暧昧来得刚好，你的嘴角微微上翘，性感得无可救药，想象不到如此心跳，一切都想要，你的唇膏鲜艳讨好，一股自信的骄傲，什么预兆气氛微妙，爱你我知道，预兆气氛微妙，因为爱你我知道
小小 (Live),小小 (Live) - 容祖儿，回忆像个说书的人，用充满乡音的口吻，跳过水坑 绕过小村，等相遇的缘分，你用泥巴捏一座城，说将来要娶我进门，转多少身 过几次门 虚掷青春，小小的誓言还不稳，小小的泪水还在撑，稚嫩的唇 在说离分，我的心里从此住了一个人，曾经模样小小的我们，那年你搬小小的板凳，为戏入迷我也一路跟，我在找那个故事里的人，你是不能缺少的部份，你在树下小小的打盹，小小的我傻傻等，回忆像个说书的人，用充满乡音的口吻，跳过水坑 绕过小村，等相遇的缘分，你用泥巴捏一座城，说将来要娶我进门，转多少身 过几次门 虚掷青春，小小的感动雨纷纷，小小的别扭惹人疼，小小的人还不会吻，我的心里从此住了一个人，曾经模样小小的我们，那年你搬小小的板凳，为戏入迷我也一路跟，我在找那个故事里的人，你是不能缺少的部份，你在树下小小的打盹，小小的我傻傻等，我的心里从此住了一个人，曾经模样小小的我们，当初学人说爱念剧本，缺牙的你发音却不准，我在找那个故事里的人，你是不能缺少的部份，小小的手牵小小的人，守着小小的永恒
雨下一整晚 (Live),街灯下的橱窗，有一种落寞的温暖，吐气在玻璃上，画着你的模样，开着车漫无目的的转弯，不知要去哪个地方，闹区的电视墙，到底有谁在看，白杨木 影子被拉长，像我对你的思念走不完，原来我从未习惯，你已不在我身旁，街道的 铁门被拉上，只剩转角霓虹灯还在闪，这城市的小巷，雨下一整晚，你撑把小纸伞，叹姻缘太婉转，雨落下雾茫茫，问天涯在何方，午夜笛笛声残，偷偷透透过窗，烛台前我嘛还在想，小舢舨 划啊划，小纸伞 遮雨也遮月光，白杨木 影子被拉长，像我对你的思念走不完，原来我从未习惯，你已不在我身旁，街道的 铁门被拉上，只剩转角霓虹灯还在闪，这城市的小巷，雨下一整晚
双截棍 (Live),岩烧店的烟味弥漫，隔壁是国术馆，店里面的妈妈桑，茶道 有三段，，教拳脚武术的老板，练铁沙掌 耍杨家枪，硬底子功夫最擅长，还会金钟罩铁布衫，，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，，干什么，干什么，呼吸吐纳心自在，，干什么，干什么，气沉丹田手心开，，干什么，干什么，日行千里系沙袋，，飞檐走壁莫奇怪，去去就来，，干什么，干什么，我打开任督二脉，，干什么，干什么，东亚病夫的招牌，，干什么，干什么，已被我一脚踢开，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气，，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，，快使用双截棍 哼，，快使用双截棍 哼，，快使用双截棍 哼，，为人耿直不屈 一身正气 哼
公公偏头痛(Anky Hype Mix Re-drum),公公偏头痛(Anky Hype Mix Re-drum) - 周杰伦，，，，公公他偏头痛 公公他偏头痛，说银两不够重 公公公 公公公 公公，公公贪污很凶 公公贪污很凶，那军饷被掏空，后宫有 佳丽三千 却不能碰，紧挨着灯笼 这十年苦读无人能懂，无奈这夜晚寒风却穿透了屏风，吹几页刺客列传我淡定背诵，平仄先搞懂诗词歌赋才能够通，书法的篆隶楷行草乃是基本功，过眼的繁华朝代更迭来去匆匆，法家的内容 道家的从容，儒家的宽容 这些都该懂，我是个穷秀才 中状元考进来，却一直状况外 被宦官所陷害，那公公的人脉 遍五湖通四海，大内的高手坏 砸朝廷的招牌，公公他偏头痛 公公他偏头痛，说银两不够重，公公贪污很凶，公公贪污很凶，那军饷被掏空，后宫有 佳丽三千 却不能碰，公公 公公 公公 公公 公公 公公，我进京赶考，免不了学而时习之的 摇头晃脑，东方的琴棋书画比西方有情调，弹琵琶古筝我的调调给力重要，再感谢各位乡亲还有父父老，提供我盘缠设宴款待外加水饺，老子我读了老子老聃出关逍遥，我说道可道 你说非常道，我说风萧萧 你说你知道，我是个穷秀才 说道理明黑白，在朝中如尘埃 没人理有人爱，不畏惧当权派 上奏折硬着来，那公公站起来 整个人快气坏，公公他偏头痛 公公他偏头痛，说银两不够重，公公贪污很凶 公公贪污很凶，那军饷被掏空，后宫有 佳丽三千 却不能碰，公公公公公公 公公公他不靠谱，百姓们在歌颂 他下台一鞠躬 躬，公公公公公公 公公公他不靠谱，百姓们在歌颂 他下台一鞠躬，他下台一鞠躬 他下台一鞠躬
美人鱼的传说,美人鱼的传说出售本歌曲需要 请留言，词曲唱宋小金，坐在海边吹着海风，望着天空等美人鱼，天上太阳烈日当空，原来四月的天气也热的受不了，远处传来美人鱼的呼唤，我就站在城市的街角，喝着冷饮吃着炸鸡，旁边还有你甜甜的笑，海誓山盟话天荒地老，你给我个甜蜜的拥抱，你说要陪我去天涯去海角，如今你曲不见了，今生今世的美好，像云烟像大海无边如潮，留下的只有我孤独身影，被海风慢慢煎熬，虚弱的快受不了
稻香 (Live),对这个世界如果你有太多的抱怨，跌倒了就不敢继续往前走，为什么人要这么的脆弱堕落，请你打开电视看看，多少人为生命在努力勇敢的走下去，我们是不是该知足，珍惜一切，就算没有拥有，还记得你说家是唯一的城堡，随着稻香河流继续奔跑，微微笑，小时候的梦我知道，不要哭让萤火虫带着你逃跑，乡间的歌谣永远的依靠，回家吧，回到最初的美好，不要这么容易就想放弃，就像我说的，追不到的梦想，换个梦不就得了，为自己的人生鲜艳上色，先把爱涂上喜欢的颜色，笑一个吧，功成名就不是目的，让自己快乐快乐这才叫做意义，童年的纸飞机，现在终于飞回我手里，所谓的那快乐，赤脚在田里追蜻蜓追到累了，偷摘水果被蜜蜂给叮到怕了，谁在偷笑呢，我靠着稻草人吹着风唱着歌睡着了，哦 哦 睡着了，哦 哦 他睡着了，珍惜一切，就算没有拥有，还记得你说家是唯一的城堡，随着稻香河流继续奔跑，微微笑，小时候的梦我知道，不要哭让萤火虫带着你逃跑，乡间的歌谣永远的依靠，回家吧，回到最初的美好，不要哭让它带着你逃跑，乡间的歌谣永远的依靠，回家吧，回到最初的美好
本草纲目 (Live),如果华陀再世，崇洋都被医治，外邦来学汉字，激发我民族意识，马钱子 决明子，苍耳子 还有莲子，黄药子 苦豆子，川楝子 我要面子，用我的方式，改写一部历史，没什么别的事，跟着我 念几个字，山药 当归 枸杞 Go，山药 当归 枸杞 Go，看我抓一把中药，服下一帖，我表情悠哉，跳个大概，动作轻松自在，你学不来，霓虹的招牌，调整好状态，在华丽的城市，等待醒来，快在这朝代，内力传开，豪气挥正楷，给一拳对白，在华丽的城市，等待醒来
牛仔很忙 (Live),随着奔腾的马蹄，小妹妹吹着口琴，夕阳下美了剪影，我用子弹写日记，介绍完了风景，接下来换介绍我自己，我虽然是个牛仔，在酒吧只点牛奶，为什么不喝啤酒，因为啤酒伤身体，很多人不长眼睛，嚣张都靠武器，赤手空拳就缩成蚂蚁，不用麻烦了不用麻烦了，不用麻烦不用麻烦了，不用麻烦了，你们一起上我在赶时间，每天决斗观众都累了英雄也累了，不用麻烦了不用麻烦了，副歌不长你们有几个，一起上好了，正义呼唤我美女需要我，牛仔很累的，(心爱的你走去叨位，我哪的拢没看到你)，我啦啦啦骑毛驴，因为马跨不上去，洗澡都洗泡泡浴，因为可以玩玩具，我有颗善良的心，都只穿假牛皮，喔跌倒时，尽量不压草皮，枪口它没长眼睛，蔷薇不挂着想你，我曾经答应上帝，除非是万不得已，我曾经答应上帝，要逃命前请你，把手举高跟着一起来，不用麻烦了不用麻烦了，不用麻烦不用麻烦了，不用麻烦了，你们一起上我在赶时间，每天决斗观众都累了英雄也累了，不用麻烦了不用麻烦了，副歌不长你们有几个，一起上好了，正义呼唤我美女需要我，牛仔很忙的，不用麻烦了不用麻烦，不用麻烦了，不用麻烦了不用麻烦，不用麻烦了，不用麻烦了不用麻烦了，不用麻烦了不用麻烦，不用麻烦了，不用麻烦了不用麻烦了，副歌不长你们有几个，一起上好了，正义呼唤我美女需要我，牛仔很忙的
枫 (Live),乌云在我们心里搁下一块阴影，我聆听沉寂已久的心情，清晰透明就像美丽的风景，总在回忆里才看的清，被伤透的心能不能够继续爱我，我用力牵起没温度的双手，过往温柔已经被时间上锁，只剩挥散不去的难过，缓缓飘落的枫叶像思念，我点燃烛火温暖岁末的秋天，极光掠夺天边，北风掠过想你的容颜，我把爱烧成了落叶，却换不回熟悉的那张脸，缓缓飘落的枫叶像思念，为何挽回要赶在冬天来之前，爱你穿越时间，两行来自秋末的眼泪，让爱渗透了地面，我要的只是你在我身边，在我身边
红模仿(Anky Hype Mix Re-drum),红模仿-周杰伦，诶吆吉他谁教你的啊，啊我生下来就会的，诶吆P咧，中国风的歌曲，有增无减，是好是坏，问方文山最清楚，从娘子唱到双截棍，东风破到发如雪，一路走来 始终如一，多样的曲风，独爱中国风，我坚持风格，我活在我的世界，谁都插不上嘴，唱反调，是我的本性，出其不意，是我的个性，就算我站在山顶，也只不过是个平民老百姓，但我的肩膀，会有两块空地，那就是勇气，与毅力，我要做音乐上的皇帝，(哼哼哈兮 哼哼哈兮，哼哼哈兮 哼哼哈兮)，下坡的路不费工夫，别人已经帮你铺路，但我选择上坡，因为我取名叫自负，谦虚和那虚伪，就只差一个字 有时有点分不清，因为我喜欢真实的自己，我不能够后退 因为不是绿叶，如果只是点缀 愿当皎洁明月，小草等待风吹 不用靠你的背，假如天会很黑 我会请嫦娥奔月，为什么写这首歌 我现在还找不到动机，不过用心听下去 你会觉得更有意义，如果你对未来产生恐惧 眼前雾蒙蒙一片，那是因为你没把眼镜给擦干净，勇敢走下去 这首歌会陪你前进，我常常在想 宇宙只有一颗太阳，为什么我的影子这么多 这么像，战胜幻像 和我一样 喜欢模仿 的朋友们，崇拜是件好事 欣赏是种美德，但走在我后面 我很担心，别人会看不见你 到最后 只是一个接一个的分身，这样的鼓励 是否太直接 太讽刺，老师在讲 到底有没有在听啊，我告诉你 做自己 胜于跟太紧，最大的敌人 就是那内心的自己，我不能够后退 因为不是绿叶，如果只是点缀 愿当皎洁明月，小草等待风吹 不用靠你的背，假如天会很黑 我会请嫦娥奔月，哎哟哎哟喔哎哟哎哟喔喔，哎哟不错啊，哎哟哎哟喔哎哟哎哟哎哟喔喔，哎哟好久不见，哎哟哎哟喔哎哟哎哟喔喔，哎哟的意思是，哎哟哎哟喔哎哟哎哟哎哟喔喔，就是你没话讲的都可以哎呦，哎哟哎哟喔哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟喔嘿，哎哟哎哟喔哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟哎哟喔喔，哎哟哎哟喔哎哟哎哟喔嘿，-
好久不见,好久不见 你还好吗，你的小狗 长大了吗，我的围巾 还围着吗，我的相片 都丢了吧，我剪不到后面头发，这个借口还不错吧（哎哟不错），一把剪刀一堆废话，还不是想求求你回来吧，别再一个人在生气，给他烦恼 给他操心，虽然不关我的事情，谁叫他是我的兄弟 耶，都这么久就算了吧，想想秋天就要过去 耶，冬天来临他会怕冷，你不回来难道要我抱他 这样好吗，是我不好 我没有紧紧抱住你，你说泪留着很危险，如果等雨一起（等雨一起），流下不让同情发现，我对天空这个那个流星，大喊后会不会有奇迹，就算做朋友也没关系，为你改变了自己都不认识自己，不是我跑去了整形 只是我拿出真心，开一瓶这个那个香槟 去我的Mr.J餐厅，点蜡烛顺便吃个甜品 庆祝你打死不连络的毅力，冷战早已经不流行 赶快回来到 我身边，别再一个人在生气，给他烦恼 给他操心，虽然不关我的事情，谁叫他是我的兄弟 耶，都这么久就算了吧，想想秋天就要过去 耶，冬天来临他会怕冷，你不回来难道要我抱他 这样好吗，是我不好 我没有紧紧抱住你（紧紧抱住你），你说泪留着很危险（很危险），如果等雨一起（等雨一起）流下不让同情发现，我对天空这个那个流星，大喊后会不会有奇迹，就算做朋友也没关系，为你改变了自己都不认识自己，不是我跑去了整形 只是我拿出真心，开一瓶这个那个香槟 去我的Mr.J餐厅，点蜡烛顺便吃个甜品 庆祝你打死不连络的毅力，冷战早已经不流行 赶快回来到 我身边
双截棍(Anky Hype Mix Re-drum),岩烧店的烟味弥漫，隔壁是国术馆，店里面的妈妈桑 茶道 有三段，教拳脚武术的老板，练铁沙掌 耍杨家枪，硬底子功夫最擅长，还会金钟罩铁布衫，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，干什么干什么，呼吸吐纳心自在，干什么干什么，气沉丹田手心开，干什么干什么，日行千里系沙袋，飞檐走壁 我去去就来，我们一起上前 左勾拳右钩拳，一句惹毛我的人有危险，点燃我不抽的烟，一晃好多年 他一直在身边，干什么干什么，我打开任督二脉，干什么干什么，东亚病夫的招牌，干什么干什么，已被我一脚踢开 哈，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼，快使用双截棍 哼，快使用双截棍 一身正气 哼，快使用双截棍 哼
霍元甲 (Live),吓 命有几回合 擂台等着，生死状 赢了什么 冷笑着，天下谁的 第一又如何，止干戈 我辈尚武德，我的 拳脚了得，却奈何徒增虚名一个，江湖难测 谁是强者，谁争一统武林的资格，小城里岁月流过去，清澈的勇气，洗涤过的回忆，我记得你，骄傲地活下去，霍霍 霍霍霍 霍霍霍，霍家拳的套路招式灵活，活活 活活活 活活活，活着生命就该完整地过，过过 过过过 过过过，过错软弱从来不属于我，我我 我我我 我我我，我们精武出手无人能躲，吓 命有几回合 擂台等着，生死状 赢了什么 冷笑着，天下谁的 第一又如何，止干戈 我辈尚武德，我的 拳脚了得，却奈何徒增虚名一个，江湖难测 谁是强者，谁争一统武林的资格，小城里岁月流过去，清澈的勇气，洗涤过的回忆，我记得你，骄傲地活下去，霍霍 霍霍霍 霍霍霍，霍家拳的套路招式灵活，活活 活活活 活活活，活着生命就该完整地过，过过 过过过 过过过，过错软弱从来不属于我，我我 我我我 我我我，我们精武出手无人能躲
双截棍 (Live),岩烧店的烟味弥漫，隔壁是国术馆，店里面的妈妈桑 茶道 有三段，教拳脚武术的老板，练铁沙掌 耍杨家枪，硬底子功夫最擅长，还会金钟罩铁布衫，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，干什么干什么，呼吸吐纳心自在，干什么干什么，气沉丹田手心开，干什么干什么，日行千里系沙袋，干什么干什么，我打开任督二脉，干什么干什么，东亚病夫的招牌，干什么干什么，已被我一脚踢开 哈，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，他们儿子我习惯，从小就耳濡目染，什么刀枪跟棍棒，我都耍的有模有样，什么兵器最喜欢，双截棍柔中带刚，想要去河南嵩山，学少林跟武当，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，如果我有轻功 飞檐走壁，为人耿直不屈 一身正气 哼，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，习武之人切记 仁者无敌，是谁在练太极 风生水起，快使用双截棍 哼哼哈兮，快使用双截棍 哼哼哈兮，快使用双截棍 哼，快使用双截棍 一身正气 哼
鞋子特大号(Anky Hype Mix Re-drum),鞋子特大号(Anky Hype Mix Re-drum) - 周杰伦，，，，巨炮：喂，杰伦：喂巨炮哦，巨炮：欸欸，杰伦：欸你有没有看过卓别林，巨炮：卓别林哦，杰伦：欸有看过吗，巨炮：你是说他的电影是不是，杰伦：我是说他本人啦，巨炮：哈哈哈哈哈哈，很难笑耶哈哈，，如如如如如如果不小心跌倒，马上就爬起来装没事，幽默是这世上最好的礼物，别只想要当那王子公主公主，别对人家冷漠耍帅装酷装酷，让一切的准备都完美演出，让所有的努力都美好落幕，哎哟喂啊字典里没有收录，差点跌倒却不自觉会说出，叽里咕噜唏哩呼噜，幽默是专业的行为艺术，就算是跟猫打招呼，或者是跟狗问路也要很专注，听清楚什么呼噜，绝不是形容东方鱼肚白的日出，还有偶尔扮演一棵树，你才知道当人类有多美妙，我戴着圆顶礼帽鞋子特大号，我手拿拐杖留着胡子大家好，别什么你都想要快乐却找不到，幽默是挫折中优雅的礼貌，跟我一起，Hey Hey Hey Hey Hey Hey Hey Hey，Hey Hey Hey Hey Hey Hey Hey Hey，完了没，如果不小心跌倒，马上就爬起来装没事，幽默是这世上最好的礼物，别只想要当那王子公主公主，别对人家冷漠耍帅装酷装酷，让一切的准备都完美演出，让所有的努力都美好落幕，哎哟喂啊字典里没有收录，差点跌倒却不自觉会说出，叽里咕噜唏哩呼噜，喜剧要百分之百的投入，不管演动物或植物，你一定都要演的让人家羡慕，听清楚 不是葫芦，我一身的打扮也不是在变魔术，表情无辜闯祸时无助，让你开心其实要一点头脑，我戴着圆顶礼帽鞋子特大号，我动作逗趣所有人都笑翻掉，若生活需要微笑，请看着我就好，将压力一股脑全部释放掉，，我戴着圆顶礼帽鞋子特大号，我手拿拐杖留着胡子大家好，别什么你都想要快乐却找不到，幽默是挫折中优雅的礼貌，再来一遍，叽里咕噜唏哩呼噜，喜剧要百分之百的投入，不管演动物或植物，你一定都要演的让人家羡慕，听清楚不是葫芦，我一身的打扮也不是在变魔术，将压力一股脑释放掉，若生活要微笑看着我就好
屋顶,(男)半夜睡不着觉 把心情哼成歌，只好到屋顶找另一个梦境，(女)睡梦中被敲醒 我还是不确定，怎曾有动人 弦律在对面的屋顶，我悄悄关上门 带着希望上去，原来是我梦里常出现的那个人，(男)那个人不就是我梦里，那模糊的人 我们有同样的默契，(女)用天线(合)用天线 排成爱你的形状Ho Ho，(女)在屋顶唱着你的歌，(男)在屋顶和我爱的人，(女)让星星点缀成(合)最浪漫的夜晚，拥抱这时刻这一分一秒全都停止，(男)爱开始纠结，(女)在屋顶唱着你的歌，(男)在屋顶和我爱的人，(女)将泛黄的的夜献给(合)最孤独的月，拥抱这时刻这一分一秒全都停止，(男)爱开始纠结(合)梦有你而美，，(男)半夜睡不着觉 把心情哼成歌，只好到屋顶找另一个梦境，(女)睡梦中被敲醒 我还是不确定，怎曾有动人 弦律在对面的屋顶，我悄悄关上门 带着希望上去，原来是我梦里常出现的那个人，(男)那个人不就是我梦里，那模糊的人 我们有同样的默契，(女)用天线(合)用天线 排成爱你的形状Ho Ho，(女)在屋顶唱着你的歌，(男)在屋顶和我爱的人，(女)让星星点缀成(合)最浪漫的夜晚，拥抱这时刻这一分一秒全都停止，(男)爱开始纠结，(女)在屋顶唱着你的歌，(男)在屋顶和我爱的人，(女)将泛黄的的夜献给(合)最孤独的月，拥抱这时刻这一分一秒全都停止，(男)爱开始纠结(合)梦有你而美，，(女)让我爱你是谁(男)是我，(女)让你爱我是谁(男)是你，(女)怎会有 (合)动人弦律环绕在我俩的身边，(女)让我爱你是谁 (男)是我，(女)让你爱我是谁 (男)是你，(女)原来是(合)这屋顶有美丽的邂逅，(男)在屋顶唱着你的歌 在屋顶和我爱的人
